entity,description,is_india
ulips,Unit Linked Insurance Plans - India-specific investment product,1
ihs markit,UK-based information services company,0
mcci,Merchants’ Chamber of Commerce & Industry - India-based business association,1
manipal-tpg,Joint venture between Manipal Hospitals and US-based TPG,1
goldq & silverq,Refers to Indian market indices for gold and silver,1
australia’s civil aviation safety authority,Australia’s regulatory body for civil aviation,0
essel propack,Indian multinational packaging company,1
ctc,Cost to Company-  India-specific term for total employee remuneration,1
reuters,Global news and media company,0
nacl industries,Indian agrochemical company,1
rentomojo,Indian rental services company,1
zee enterprises,Indian media conglomerate,1
the "amazon of transportation",General term possibly referring to Uber or other logistics firms,0
bpi,Bank of the Philippine Islands Philippines-based financial institution,0
abbott india,Indian subsidiary of US-based Abbott Laboratories,1
bhel,Bharat Heavy Electricals Limited Indian government-owned engineering and manufacturing company,1
db realty,Indian real estate development company,1
indian steel and wire products ltd.,Indian steel manufacturer part of Tata Group,1
icici banks,ICICI Bank Indian multinational bank,1
hp assembly,Himachal Pradesh Assembly Indian state legislative body,1
"bobs",Bank of Baroda Indian public sector bank,1
hdi,Human Development Index global socio-economic metric,0
harley,Harley-Davidson US-based motorcycle manufacturer,0
hpcl’s,Hindustan Petroleum Corporation Limited Indian state-owned oil company,1
harvard,Harvard University - US-based university,0
msi,Micro-Star International - Taiwan-based electronics company,0
motilal oswal financial services,Indian financial services company,1
psbs,Public Sector Banks - India-specific term for government-owned banks,1
wrp,Western Railway Projects or general term,1
motherson sumi,Indian auto parts manufacturer,1
ravindra rao comex,Indian commodity market analyst,1
national programme for control of blindness,Indian government health program,1
nabard,National Bank for Agriculture and Rural Development - Indian government financial institution,1
"the web store",General term - could refer to online retail platforms,0
pwd,Public Works Department - Indian government department,1
shizuoka bank,Japanese regional bank,0
"reddys laboratories",Dr. Reddy’s Laboratories - Indian pharmaceutical company,1
pizza hut,US-based fast food company,0
treasury,General term for government financial management offices,0
reliance nippon life asset management ltd,Indian asset management company,1
kyc,Know Your Customer - global financial regulatory requirement,0
stp,Systematic Transfer Plan - India-specific mutual fund term,1
the zurich airport international ag,Swiss company operating Zurich Airport,0
zee’s,Refers to Zee Entertainment Enterprises - Indian media company,1
west texas intermediate,Grade of crude oil used as a benchmark in US oil pricing,0
cisf,Central Industrial Security Force - Indian paramilitary force,1
cto,Chief Technology Officer -  global corporate term,0
sandoz,Generic pharmaceuticals division of Novartis - global company,0
p2m,Peer to Merchant payments - a digital transaction type,1
sezs,Special Economic Zones - designated areas with economic regulations,1
luk,Lukoil - Russian multinational energy company,0
citigroup global markets,Subsidiary of Citigroup offering financial services and investment,0
cc,Carbon Credits - tradable permit for carbon emissions,0
cea,Chief Economic Advisor - Indian government economic advisor,1
"eus",European Union Studies - academic field or term referring to European Union affairs,0
inter corporate financiers,Financial entities providing services to corporate clients,1
ktm ag,Austrian motorcycle and sports car manufacturer,0
icf,Integral Coach Factory - Indian manufacturer of rail coaches,1
sumitomo mitsui,Japanese multinational financial services company,0
db corp,Indian media and publishing company,1
dr lal pathlabs,Indian healthcare diagnostic service provider,1
falcon,Falcon Edge Capital - global alternative asset management firm,0
ipsos,Global market research company headquartered in France,0
l-1,L-1 Visa - non-immigrant visa allowing intra-company transfers to the US,0
motilal oswal,Indian financial services company,1
dzire,Suzuki Dzire - popular compact sedan in India,1
silver lake,American private equity firm,0
bpcl,Bharat Petroleum Corporation Limited - Indian state-owned oil company,1
jnct,Jawaharlal Nehru Container Terminal - India's major port terminal,1
berger paints,Indian multinational paint company,1
linkedin,American business and employment-oriented online service,0
msci india/nifty,Indices tracking Indian stock market performance,1
business sans border,Global initiative to promote international trade,0
india’s,Refers to entities or items specific to India,1
the new york times,American newspaper and media company,0
"kalyan anna",Indian colloquial term - specific meaning unclear,1
fda,U.S. Food and Drug Administration - regulatory authority for food and drugs,0
goldenpi,Indian investment platform for bonds and debentures,1
adk-fortune,Indian advertising and marketing agency,1
linde india,Indian subsidiary of Linde - multinational industrial gas and engineering company,1
accor group,French multinational hospitality company,0
burger king india,Indian subsidiary of global fast food chain Burger King,1
crystal crop protection ltd,Indian agrochemical company,1
hapramp,Indian social media and blockchain startup,1
page industries,Indian apparel manufacturer - licensee of Jockey and Speedo brands,1
nregs,National Rural Employment Guarantee Scheme - Indian government employment initiative,1
cpfi,Credit Guarantee Fund for Micro Units - Indian financial initiative,1
berkshire hathaway,American multinational conglomerate holding company,0
aif,Alternative Investment Fund - India-specific investment vehicle,1
america merrill lynch,Bank of America Merrill Lynch - American multinational investment bank,0
paytm,Indian digital payments and financial services company,1
siam,Society of Indian Automobile Manufacturers,1
singapore exchange,Main securities and derivatives exchange of Singapore,0
gstn,Goods and Services Tax Network - Indian entity managing GST,1
escorts,Indian engineering company specializing in construction and agricultural machinery,1
fms,Faculty of Management Studies - Indian business school,1
united nations university world institute for development economics research,UN organization focusing on global economic development research,0
rfp,Request for Proposal - formal solicitation for services or goods,0
dr reddy’s laboratories ltd,Indian multinational pharmaceutical company,1
amansa capital,Singapore-based investment management firm,0
bs6,Bharat Stage 6 - Indian vehicle emission standards,1
sequoia capital india,Indian arm of Sequoia Capital - global venture capital firm,1
moneycontrol,Indian financial news platform,1
hindustan petroleum corporation limited,Indian state-owned oil and natural gas company,1
stylumia intelligence technology,Indian fashion tech startup,1
omcs,Oil Marketing Companies - term for Indian public sector oil firms,1
gmv,Gross Merchandise Value - total sales monetary value,0
ncds,Non-convertible Debentures - debt instruments used in India,1
fsdc,Financial Stability and Development Council - Indian financial regulatory body,1
nestle,Swiss multinational food and beverage company,0
md,Managing Director - senior corporate executive role,0
kmb,Kotak Mahindra Bank - Indian private sector bank,1
energy efficiency services limited,Indian energy services company,1
wistron,Taiwanese original design manufacturer,0
kci,Kentucky Catheters Inc. - specific company in medical technology,0
sahakar bharati,Indian cooperative movement organization,1
pse,Public Sector Enterprise - India-specific term for state-owned companies,1
nsdl,National Securities Depository Limited - Indian securities depository,1
alto and d presso,Maruti Suzuki cars sold in India - Alto and Espresso models,1
uttar pradesh state road transport corporation,Indian state-owned road transport company in Uttar Pradesh,1
eo,Executive Order - U.S. presidential directive,0
ba3,Moody's credit rating indicating non-investment grade debt,0
emi,Equated Monthly Installment - India-specific loan repayment term,1
reliance group,Indian conglomerate with diverse business interests,1
aqi,Air Quality Index - global metric for measuring air pollution,0
cipla ltd,Indian multinational pharmaceutical company,1
"infosys",Infosys - Indian multinational IT services company,1
"il&fss",Infrastructure Leasing & Financial Services - Indian infrastructure development and finance company,1
tata aig,Joint venture between Tata Group and American International Group (AIG) providing insurance services,1
firstsource’s provider business,Indian business process management company’s healthcare service provider operations,1
nsa,National Security Agency - U.S. intelligence agency,0
ncdex agridex,Agri-derivatives index on the National Commodity & Derivatives Exchange in India,1
lic pension fund,Life Insurance Corporation Pension Fund - Indian pension fund management,1
treasuries,U.S. government debt securities,0
shadowfax,Indian logistics and delivery services company,1
"bjps",Refers to Bharatiya Janata Party - Indian political party,1
astrazeneca pharma,AstraZeneca’s Indian pharmaceutical operations,1
procter & gamble,American multinational consumer goods company,0
flipkart’s,Refers to Flipkart - Indian e-commerce company,1
pdam10,Insufficient context to define accurately,0
sgx,Singapore Exchange - leading exchange in Singapore,0
redmart,Online grocery delivery service in Singapore,0
gomechanic,Indian automotive service startup,1
"japans nikkei",Nikkei - Japanese stock market index,0
cailler,Swiss chocolate brand owned by Nestlé,0
l catterton,Global private equity firm,0
tejas entertainment,Indian media and entertainment company,1
indian oil,Indian Oil Corporation Limited - state-owned oil and gas company,1
nifty bank nifty bank,Nifty Bank Index - Indian stock market index tracking banking sector,1
npas,Non-Performing Assets - loans or advances in default,1
bharat bond etfs,Indian government-backed exchange-traded funds investing in bonds,1
the pm-cares fund,Indian government public charitable trust for emergency situations,1
cmie,Center for Monitoring Indian Economy - economic research and data analysis firm,1
co-win,Indian government digital platform for COVID-19 vaccination management,1
abvkj,All Bharat Vikas Kendra Janjatis - likely an Indian welfare organization,1
tata samarth,Tata Motors' program for employee and community welfare,1
sig global,SIG Combibloc Group - Swiss packaging company,0
"shop from home",Campaign or initiative encouraging online shopping,0
tpg,American investment firm specializing in private equity,0
salarpuria sattva,Indian real estate and construction company,1
mio,Managed Investment Opportunities - term for portfolio investments,0
icici securities,Indian financial services firm providing investment and brokerage services,1
hamleys,British multinational toy retailer owned by Indian company Reliance,0
zee5 india,Indian digital entertainment platform owned by Zee Entertainment,1
hexaware technologies,Indian IT and business process outsourcing company,1
the revere bank of india,Refers to the Reserve Bank of India - India's central banking institution,1
india scheme,General term for Indian government-backed programs or initiatives,1
odi,Overseas Direct Investment - Indian businesses investing abroad,1
reliance defence,Indian defense manufacturing company,1
esp and hill hold assist,Electronic Stability Program and Hill Hold Assist - vehicle safety features,0
fii-dii,Foreign Institutional Investors and Domestic Institutional Investors - key market participants in India,1
"gcpls",Godrej Consumer Products Limited - Indian consumer goods company,1
dicgc,Deposit Insurance and Credit Guarantee Corporation - Indian government entity insuring bank deposits,1
dgs,Directorate General of Shipping - Indian government agency,1
uvideo,Indian short video content platform,1
ltd,Limited - refers to privately held or publicly traded companies,0
lic’s ipo,Initial Public Offering of India's Life Insurance Corporation,1
1mdb,1Malaysia Development Berhad - Malaysian state-owned investment fund embroiled in scandal,0
sun pharmaceutical,Indian multinational pharmaceutical company,1
the tata gravitas,Refers to Tata Gravitas - Indian SUV model by Tata Motors,1
gpif,Government Pension Investment Fund - Japan’s largest public pension fund,0
ndma,National Disaster Management Authority - Indian government agency,1
content & international markets,Refers to content distribution in global markets,0
viacom 18 digital ventures,Indian media company owned by Network18 and ViacomCBS,1
pm-kisan,Indian government scheme providing financial support to farmers,1
"ajanta pharmas",Ajanta Pharma - Indian multinational pharmaceutical company,1
tiger global management,American investment firm specializing in private equity and venture capital,0
credai bengaluru,Bengaluru chapter of the Confederation of Real Estate Developers' Associations of India,1
"alls",Insufficient context to define accurately,0
balmer lawrie,Indian state-owned enterprise specializing in manufacturing and services,1
"bses",BSES - refers to power distribution companies in Delhi,1
bharat-stage,Bharat Stage Emission Standards - Indian emission regulation norms,1
the lok sabha,Lower house of India's Parliament,1
fc51,Insufficient context to define accurately,0
krishna group,Indian automotive component manufacturer,1
motilal oswal,Indian financial services company offering investment solutions,1
ankur capital,Indian venture capital firm focusing on early-stage investments,1
hindalco industries limited,Indian aluminium and copper manufacturing company,1
prius,Toyota Prius - hybrid electric car model,0
lmics,Low- and Middle-Income Countries - classification used in global economics,0
"pocos",Insufficient context to define accurately,0
rrr,Indian historical action drama film directed by S. S. Rajamouli,1
route mobile ipo,Initial Public Offering of Route Mobile - Indian cloud communications company,1
dax,German stock market index,0
"novelis",Subsidiary of Hindalco Industries - global leader in aluminium rolling,0
eicher,Indian automotive company specializing in commercial vehicles,1
"the employees provident fund organisation",Indian government organization managing employee retirement funds,1
luxmi group,Indian tea company,1
"apples",Refers to Apple Inc. or a colloquial usage of the word - insufficient context,0
cams,Computer Age Management Services - Indian financial infrastructure company,1
bloomberg,American financial news and media company,0
small and medium enterprises,Businesses with a limited scale of operations- common in India,1
max financial,Indian financial services company,1
ftse all-world,Global stock market index tracking worldwide equity markets,0
economic times,Indian business-focused newspaper and media company,1
china’s ant financial,Chinese financial services giant and affiliate of Alibaba,0
cpse etf,Central Public Sector Enterprises Exchange Traded Fund - Indian government-managed fund,1
the google play store,Digital distribution service operated by Google,0
"itcs",Indian Tobacco Company Limited - Indian conglomerate,1
asa,Advertising Standards Authority - UK's advertising regulatory body,0
uber’s,Refers to Uber - American ride-hailing company,0
ciaz,Suzuki Ciaz - sedan car model sold in India,1
fb,Refers to Facebook - American social media company,0
route mobile,Indian cloud communications service provider,1
centre,Refers to the central government of India,1
rossari biotech,Indian specialty chemicals manufacturer,1
sbi cards & payment services,Indian credit card issuer and subsidiary of State Bank of India,1
axis and icici bank,Indian private sector banks,1
kedaara capital,Indian private equity investment firm,1
yrf,Yash Raj Films - Indian film production and distribution company,1
vijaya and dena,Vijaya Bank and Dena Bank - Indian banks that merged with Bank of Baroda,1
sco,"Shanghai Cooperation Organisation - Eurasian political, economic- and security alliance",0
shakti pumps india,Indian manufacturer of energy-efficient pumps,1
unisys software,Indian software company providing IT services,1
future retail,Indian retail company part of Future Group,1
the planning commission,Defunct Indian government institution that formulated five-year plans,1
mca,Ministry of Corporate Affairs - Indian government ministry,1
o2c,Oil to Chemicals - a business segment- often referring to Reliance Industries,1
alok industries,Indian textile manufacturing company,1
webinar,Online seminar or presentation held over the web,0
olx,Online marketplace for buying and selling goods,0
pradhan mantri garib kalyan yojana,Indian government welfare scheme for the poor,1
irdai,Insurance Regulatory and Development Authority of India,1
edbi,Enterprise Development Bank of India - focuses on promoting businesses,1
government of india,Central government of India,1
omo,Open Market Operations - central bank activity managing liquidity,0
orcmnt,Insufficient context to define accurately,0
alexa,Amazon's voice-controlled virtual assistant,0
fta,Free Trade Agreement - an international trade pact,0
nissan motor co,Japanese multinational automobile manufacturer,0
can fin homes,Indian housing finance company,1
compass,Insufficient context to define accurately,0
atma nirbhar bharat,Indian government initiative to promote self-reliance,1
caspian vc partners,Indian venture capital firm focused on impact investments,1
roseate hotels & resorts,Indian luxury hotel chain,1
pre-series a,Initial funding round for startups before Series A,0
lexus,Japanese luxury automobile brand,0
vix,Volatility Index - financial metric for market volatility,0
marico,Indian consumer goods company,1
the unique identification authority of india,Indian government agency managing Aadhaar,1
"nhais",National Highways Authority of India - Indian government agency,1
agr,Adjusted Gross Revenue - telecommunications revenue concept,1
kotak mahindra asset management company,Indian asset management firm,1
india amc,Refers to asset management companies in India,1
bnfs,Banking and Financial Services - industry sector,0
the caixin/markit pmi,Chinese manufacturing index measuring economic activity,0
genome,Complete set of DNA- including genes- in an organism,0
accenture,Global professional services company,0
"vodafone ideas",Refers to Vodafone Idea - Indian telecommunications company,1
otr+ag,On-the-road price plus agricultural goods - insufficient context,0
byju’s,Indian edtech company offering online learning,1
bliss gvs pharma,Indian pharmaceutical company,1
hdb financial,Indian non-banking financial company,1
top-100,General reference to top companies or indices,0
nifty 50,Indian stock market index of 50 major companies,1
the ministry of textiles,Indian government ministry responsible for textiles,1
efp,Exchange of Futures for Physicals - financial trading practice,0
spdr etf,Standard & Poor's Depositary Receipts - exchange-traded fund,0
the google store,Online store operated by Google,0
toyota kirloskar motor,Indian joint venture between Toyota and Kirloskar Group,1
ola’s,Refers to Ola - Indian ride-hailing company,1
iosco,International Organization of Securities Commissions - regulatory body,0
indas,Indian Accounting Standards,1
inc.,Incorporated - refers to a legally registered company,0
"walmarts",Refers to Walmart - American multinational retail corporation,0
the mahindra foundation,Indian philanthropic foundation under the Mahindra Group,1
aurobindo,Indian pharmaceutical company,1
issl,India Shelter Finance Corporation Limited - Indian housing finance company,1
rbi,Reserve Bank of India - India’s central banking institution,1
the gst council,Indian government body overseeing Goods and Services Tax,1
mastercard,American multinational financial services corporation,0
the tata group,Indian multinational conglomerate,1
pi industries,Indian agrochemical company,1
3one4 capital,Indian venture capital firm,1
trifecta capital,Indian venture debt fund,1
"modis bharatiya janata party",Refers to Indian Prime Minister Modi’s political party- the BJP,1
emcure pharma,Indian pharmaceutical company,1
shishu,Smallest loan category under India’s Mudra scheme,1
smbc,Sumitomo Mitsui Banking Corporation - Japanese bank,0
bsnl,Bharat Sanchar Nigam Limited - Indian state-owned telecommunications company,1
nifty psu bank,Indian stock index tracking public sector banks,1
"ihs marki india manufacturing purchasing managers index",Indian economic indicator measuring manufacturing activity,1
the federation of automobile dealers associations,Indian industry body for automobile dealers,1
ofbs,Ordnance Factory Board - Indian defense manufacturing organization,1
australian national university,University located in Canberra- australia,0
hero motorcorp,Indian motorcycle and scooter manufacturer,1
icea,Indian Cellular and Electronics Association - industry body,1
oman crude oil,Omani benchmark crude oil,0
zigzag,Insufficient context to define accurately,0
cerelac,Infant cereal brand by Nestlé,0
sony,Japanese multinational conglomerate,0
indian space research organisation,Indian government space agency,1
"reliance industries",Indian multinational conglomerate,1
cras,Credit Rating Agencies,0
wistron’s,Refers to Wistron - Taiwanese electronics manufacturing company,0
indian school of business,Indian business school offering management programs,1
warren buffett,American business magnate and investor,0
nazara,Indian gaming and sports media company,1
thalinomics,Term related to affordability of a plate of food (thali) in India,1
lic,Life Insurance Corporation of India - Indian state-owned insurance group,1
tata trusts,Indian philanthropic organizations founded by Tata Group,1
icici lombard general insurance,Indian general insurance company,1
india volatility index,Indian market index measuring market volatility,1
pre-covid,Term used to describe period before the COVID-19 pandemic,0
"sensexs",Refers to Sensex - Indian stock market index,1
"hindalcos",Refers to Hindalco Industries - Indian aluminium and copper manufacturing company,1
medgenome,Indian genetic diagnostics and research company,1
covid india,Refers to the impact of COVID-19 in India,1
fy23,Fiscal Year 2023,0
"indias first ifsc",Refers to Gujarat International Finance Tec-City (GIFT City) - India's first International Financial Services Centre,1
microsoft,American multinational technology company,0
qips,Quality Improvement and Process Solutions - industry-focused firm,0
universal wellbeing,General term related to health and wellness initiatives,0
the s&p bse smallcap,Indian stock market index for small-cap companies,1
coal india,Indian state-owned coal mining and refinery company,1
jio infocomm ltd,Indian telecommunications company part of Reliance Group,1
axio biosolutions,Indian medical technology company specializing in wound care,1
indian banks association,Indian industry body representing banks,1
rocs,Registrar of Companies - Indian government department managing company registration,1
ctl,Contextual Technology Limited - company or industry term,0
national digital communications policy,Indian government policy on digital communications,1
edelweiss,Indian financial services company,1
hdfc life insurance,Indian life insurance company,1
hindustan construction company,Indian construction and infrastructure company,1
sbi cards,Indian credit card issuer and service provider,1
franklin templeton mf,Mutual fund management company,0
oaknorth,UK-based fintech providing loans to SMEs,0
bajaj electricals,Indian consumer electrical products and lighting company,1
kotak mahindra bank,Indian private sector bank,1
sbi caps,Investment banking and advisory services unit of State Bank of India,1
varthana,Indian education finance company,1
the bloomberg billionaires index,Global list of the richest individuals published by Bloomberg,0
eicher motors,Indian automotive company known for commercial vehicles and motorcycles,1
tilda,Brand of basmati rice and other food products,0
fpi,Foreign Portfolio Investment - investments by foreign entities in Indian markets,1
walmart-flipkart,Partnership between Walmart and Flipkart- indian e-commerce company,1
tata steel ltd,Indian multinational steel manufacturing company,1
nbfcs,Non-Banking Financial Companies - financial entities in India,1
future supply chain solutions,Indian logistics and supply chain management company,1
indian hotels co. ltd,Indian hospitality company managing Taj Hotels,1
bsf,Border Security Force - Indian paramilitary force,1
nestle sa,Swiss multinational food and beverage company,0
jindal steel & power,Indian steel and power company,1
bharti enterprises,Indian conglomerate with interests in telecommunications- retail- and other sectors,1
fcm travel solutions,Global travel management company,0
bajaj chetak,Indian scooter brand manufactured by Bajaj Auto,1
interactive brokers llc,American brokerage firm providing trading services,0
mrf,Indian multinational manufacturer of tires and rubber products,1
a small bullish candle,Technical analysis term used in finance,0
aase,Insufficient context to define accurately,0
alexa on fire tv,Amazon's voice assistant integrated with Fire TV,0
centre’s,Refers to the central government or central authority in various contexts,0
unicef,United Nations International Children's Emergency Fund,0
hcl,Indian multinational IT services and consulting company,1
simplilearn,Indian online learning and training company,1
poco,Smartphone brand and subsidiary of Xiaomi,0
h-1b,US visa for skilled workers,0
king’s college london,University in London-UK,0
volkswagen,German automobile manufacturer,0
the government of india,Central government of India,1
ibc,Insolvency and Bankruptcy Code - Indian legal framework for insolvency,1
pif,Public Investment Fund - Saudi Arabian sovereign wealth fund,0
airbus,European multinational aerospace corporation,0
us-india business council,Organization promoting trade and investment between the US and India,1
morgan stanley’s,Global financial services corporation,0
the tata trusts,Indian philanthropic organization under Tata Group,1
hinduja,Indian multinational conglomerate,1
adani power,Indian power generation and distribution company,1
ace credit card,Financial service product,0
acl,Advanced Computer Labs or Access Control List - context-specific,0
the stockholm international peace research institute,"Swedish institute focusing on conflict- arms control- and security issues",0
us fda,United States Food and Drug Administration,0
jefferies,American global investment bank and financial services company,0
india business council,Indian business organization promoting industry interests,1
fayath group,Insufficient context to define accurately,0
yamaha,Japanese multinational corporation known for musical instruments and electronics,0
s&p,Standard & Poor's - financial services company known for indices and ratings,0
icici bank’s q3,Quarter 3 financial results of ICICI Bank,1
the united nations,International organization aimed at fostering international cooperation,0
sops,Standard Operating Procedures - set of guidelines or rules,0
brics,"Brazil- russia- india- china- south Africa group of emerging economies",0
amd ventures,Investment firm specializing in venture capital,0
vivro financial services pvt ltd,Indian financial services firm,1
karur vysya bank,Indian private sector bank,1
exchange ltd,Generic term referring to various financial exchanges,0
happiest minds technologies,Indian IT services company,1
toubro,Part of Larsen & Toubro - Indian multinational conglomerate,1
upi,Unified Payments Interface - Indian digital payments system,1
dd,Direct Deposit or Dividend Declaration - context-specific,0
max life,Indian life insurance company,1
walmart,American multinational retail corporation,0
amnet,Insufficient context to define accurately,0
consumer durables,Goods that are intended to last for an extended period,0
"patels",Refers to a common surname or community in India,1
the delhi police,Law enforcement agency in Delhi- india,1
johnson controls,American multinational conglomerate specializing in building products and technologies,0
fca,Financial Conduct Authority - UK regulatory body,0
psc,Public Service Commission - various governmental appointment bodies,0
magnetic maharashtra,Government initiative to promote industrial development in Maharashtra,1
"jsw cementso",Refers to JSW Cement - Indian cement manufacturing company,1
the ministry of ayurveda,Indian government ministry responsible for traditional medicine,1
hahn automation,German company specializing in industrial automation,0
ignis,Indian mutual fund management company,1
shriram epc,Indian company specializing in engineering- procurement and construction,1
stayathome,General term related to staying at home,0
fy23e,Fiscal Year 2023 Estimate,0
dbt,Direct Benefit Transfer - Indian government scheme for financial transfers,1
kia motors india,Indian division of South Korean automotive manufacturer,1
dax,German stock market index,0
regulatory and development authority of india,Indian regulatory body overseeing financial markets,1
vistara’s 30th,Refers to 30th anniversary of Vistara - Indian airline,1
airasia,Malaysian low-cost airline,0
the future investment initiative,Global investment conference,0
"huls",Refers to HUL (Hindustan Unilever) - Indian consumer goods company,1
united payments interface,Unified Payments Interface - Indian digital payments system,1
jll india,JLL - Indian division of global real estate services company,1
goair,Indian low-cost airline,1
warburg pincus,Global private equity firm,0
mt educare,Indian educational services company,1
lvmh,French multinational luxury goods conglomerate,0
r-gds,Potential reference to R-GDS or Regional Goods Distribution Services - context-specific,0
bjp,Bharatiya Janata Party - major political party in India,1
v-mart retail,Indian retail chain,1
kisan rail,Indian government initiative for agricultural produce transportation,1
epf,Employees' Provident Fund - Indian retirement savings scheme,1
q4,Quarter 4 financial reporting period,0
targeted ltros,Targeted Long-Term Refinancing Operations - European Central Bank monetary policy tool,0
exxonmobil,American multinational oil and gas corporation,0
the income tax department,Indian government agency responsible for tax administration,1
ntt,Japanese telecommunications company,0
ips,Indian Police Service - India's premier police service,1
cbre,Global real estate services and investment firm,0
ibis,International hotel chain,0
public sector undertakings,Indian government-owned corporations,1
citi,American multinational financial services corporation,0
pakistan stock exchange,Stock exchange in Pakistan,0
sonnamera,Insufficient context to define accurately,0
sbi life insurance,Indian life insurance company,1
samsung,South Korean multinational electronics company,0
yougov,Global public opinion and data analytics firm,0
unisys,American global information technology company,0
auto,General term related to automobiles,0
fsa entertainment,Entertainment company or organization - context-specific,0
nestle’s healthier kids,Nestlé initiative focusing on children's health,0
ajanta pharma,Indian pharmaceutical company,1
indian pe,Indian private equity,1
feedback group,Indian consulting and market research firm,1
ceib,Central European International Bank - context-specific,0
tltro,Targeted Longer-Term Refinancing Operations - European Central Bank monetary policy tool,0
tata consultancy services tcs,Indian multinational IT services and consulting company,1
mindtree,Indian multinational IT and consulting services company,1
dpiit,Department for Promotion of Industry and Internal Trade - Indian government department,1
india’s,General term referring to India,1
kssf,Insufficient context to define accurately,0
walmart inc.,American multinational retail corporation,0
ai,Artificial Intelligence - technology field,0
sun pharma,Indian multinational pharmaceutical company,1
l&t capital markets,Indian financial services company,1
hang seng,Hong Kong-based stock market index,0
medicare,Healthcare program or service - context-specific,0
rane holdings,Indian manufacturing company,1
ytm,Yield to Maturity - financial term related to bond investments,0
sop,Standard Operating Procedure - set of guidelines or rules,0
allahabad bank,Indian public sector bank (now merged with Indian Bank),1
electrolux,Swedish multinational home appliance manufacturer,0
rb,Reckitt Benckiser - British multinational consumer goods company,0
"hero motocorps",Hero MotoCorp - Indian motorcycle and scooter manufacturer,1
hinduja leyland finance,Indian financial services company,1
viacom18,Indian media and entertainment company,1
ist,Indian Standard Time - time zone of India,1
fy21e,Fiscal Year 2021 Estimate,0
grubhub,American online food delivery service,0
nestle india,Indian subsidiary of Nestlé,0
tide,Global laundry detergent brand,0
vande bharat,Indian semi-high-speed train initiative,1
spice digital,Indian technology and digital services company,1
the economic times,Indian business newspaper,1
tpci,Trade Promotion Council of India,1
sebi’s,Refers to Securities and Exchange Board of India - Indian regulatory authority,1
diageo,British multinational alcoholic beverages company,0
kkr,Global investment firm,0
jlr,Jaguar Land Rover - British multinational automotive company,0
"a smart city mission",Indian government initiative to develop smart cities,1
pnb,Punjab National Bank - Indian public sector bank,1
eros now,Indian online streaming service,1
ind-ra,India Ratings and Research - credit rating agency in India,1
budget2020,Indian Union Budget for 2020,1
the gautam gambhir foundation,Indian philanthropic organization,1
suzuki motor corp,Japanese automobile manufacturer,0
inox,Indian multiplex cinema chain,1
adani solar,Indian solar energy company part of Adani Group,1
uhlig’s,Insufficient context to define accurately,0
cnn,American news network,0
rallis india,Indian agrochemical company,1
icici pms,ICICI Portfolio Management Services - Indian financial services,1
pharma,General term related to pharmaceuticals,0
bbb,Financial rating term for bonds,0
newzoo,Global market research firm specializing in games and esports,0
"marchs",Insufficient context to define accurately,0
affle india,Indian mobile marketing technology company,1
fairfax financial holdings,Canadian financial services company,0
dbs,Development Bank of Singapore - now DBS Bank,0
icici lombard,Indian general insurance company,1
oppo,Chinese smartphone manufacturer,0
pcr,Polymerase Chain Reaction - scientific method,0
ortin laboratories,Indian pharmaceutical company,1
pfis,Potential reference to Private Financial Institutions - context-specific,0
satyam computer,Indian IT services company (now part of Tech Mahindra),1
gold quanto,Financial term or product - context-specific,0
financials,General term related to financial services and markets,0
delhi high courts,Judicial authority in Delhi,1
asia index pvt. ltd,Indian company managing financial indices,1
indusind,Indian private sector bank,1
"roe winners",Financial term referring to companies with high Return on Equity,0
led tv,Television technology using Light Emitting Diodes,0
zoho,Indian software development company,1
the tokyo stock exchange,Stock exchange in Japan,0
the bharat bond etf,Indian exchange-traded fund focusing on public sector bonds,1
doha bank,Qatari bank,0
bosch,German multinational engineering and technology company,0
tdp,Telangana Rashtra Samithi - Indian political party (Telangana Development Party),1
nyse,New York Stock Exchange - American stock exchange,0
smid,Small and Mid-Cap - financial term related to market capitalization,0
keys prima hotels,Potential reference to hotel chain or brand - context-specific,0
q1,Quarter 1 financial reporting period,0
pe/vc,Private Equity/Venture Capital - investment terms,0
dayside investment,Investment firm or fund - context-specific,0
godrej,Indian conglomerate with interests in various sectors,1
itc,"Indian multinational conglomerate known for FMCG, hotels- and paperboards",1
staqu,Indian AI and computer vision company,1
multi commodity exchange of india ltd.,Indian commodity exchange,1
at&t,American telecommunications company,0
phonepe pvt ltd,Indian digital payments company,1
eb-5,US visa program for investors,0
digit health care plus,Healthcare service or product - context-specific,0
the confederation of all india traders,Indian trade association,1
bharti airtel hero motocorp,Combined reference to Bharti Airtel and Hero MotoCorp - Indian companies,1
iba,Indian Banks' Association,1
opm,Outsourced Portfolio Management - financial term,0
lac,Local Area Community or context-specific term,0
mcleod russel india,Indian tea company,1
cyient,Indian global engineering and technology company,1
doubtnut,Indian education technology company,1
maruti suzuki india ltd,Indian automobile manufacturer,1
rmc,Ready Mix Concrete - construction term,0
hcl technologies,Indian multinational IT services company,1
et prime,Indian business news platform,1
market sale,General term related to the sale of goods or services in the market,0
asian paints,Indian paint company,1
fiis,Foreign Institutional Investors - investors from outside the country,1
infra,Short for infrastructure,0
inditex,Spanish multinational clothing company,0
un,United Nations - international organization,0
kkr,Global investment firm,0
"india inc.-the valuable 500",Reference to a list of Indian companies with significant value,1
